provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
湖北省,Hubei,420000,武汉,Wuhan,420100,65914,0,26403,2682,48137,0,15826,2132,2020-02-28 17:47:50.764
湖北省,Hubei,420000,孝感,Xiaogan,420900,65914,0,26403,2682,3517,0,1795,114,2020-02-28 17:47:50.764
湖北省,Hubei,420000,黄冈,Huanggang,421100,65914,0,26403,2682,2904,0,2041,114,2020-02-28 17:47:50.764
湖北省,Hubei,420000,鄂州,Ezhou,420700,65914,0,26403,2682,1389,0,685,43,2020-02-28 17:47:50.764
湖北省,Hubei,420000,荆州,Jingzhou,421000,65914,0,26403,2682,1579,0,913,46,2020-02-28 17:47:50.764
湖北省,Hubei,420000,随州,Suizhou,421300,65914,0,26403,2682,1307,0,740,38,2020-02-28 17:47:50.764
湖北省,Hubei,420000,宜昌,Yichang,420500,65914,0,26403,2682,931,0,429,31,2020-02-28 17:47:50.764
湖北省,Hubei,420000,襄阳,Xiangyang,420600,65914,0,26403,2682,1175,0,753,32,2020-02-28 17:47:50.764
湖北省,Hubei,420000,荆门,Jingmen,420800,65914,0,26403,2682,924,0,534,37,2020-02-28 17:47:50.764
湖北省,Hubei,420000,黄石,Huangshi,420200,65914,0,26403,2682,1013,0,653,33,2020-02-28 17:47:50.764
湖北省,Hubei,420000,十堰,Shiyan,420300,65914,0,26403,2682,671,0,389,6,2020-02-28 17:47:50.764
湖北省,Hubei,420000,咸宁,Xianning,421200,65914,0,26403,2682,836,0,644,11,2020-02-28 17:47:50.764
湖北省,Hubei,420000,仙桃,Xiantao,429004,65914,0,26403,2682,575,0,388,19,2020-02-28 17:47:50.764
湖北省,Hubei,420000,天门,Tianmen,429006,65914,0,26403,2682,496,0,332,13,2020-02-28 17:47:50.764
湖北省,Hubei,420000,潜江,Qianjiang,429005,65914,0,26403,2682,198,0,99,9,2020-02-28 17:47:50.764
湖北省,Hubei,420000,恩施州,Enshi Tujia and Miao Autonomous Prefecture,422800,65914,0,26403,2682,251,0,172,4,2020-02-28 17:47:50.764
湖北省,Hubei,420000,神农架林区,Shennongjia,429021,65914,0,26403,2682,11,0,10,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,深圳,Shenzhen,440300,1348,0,935,7,417,0,281,3,2020-02-28 17:47:50.764
广东省,Guangdong,440000,广州,Guangzhou,440100,1348,0,935,7,346,0,240,1,2020-02-28 17:47:50.764
广东省,Guangdong,440000,东莞,Dongguan,441900,1348,0,935,7,98,0,55,1,2020-02-28 17:47:50.764
广东省,Guangdong,440000,佛山,Foshan,440600,1348,0,935,7,84,0,47,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,珠海,Zhuhai,440400,1348,0,935,7,98,0,63,1,2020-02-28 17:47:50.764
广东省,Guangdong,440000,江门,Jiangmen,440700,1348,0,935,7,23,0,13,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,中山,Zhongshan,442000,1348,0,935,7,66,0,58,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,惠州,Huizhou,441300,1348,0,935,7,62,0,55,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,湛江,Zhanjiang,440800,1348,0,935,7,22,0,17,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,肇庆,Zhaoqing,441200,1348,0,935,7,19,0,13,1,2020-02-28 17:47:50.764
广东省,Guangdong,440000,茂名,Maoming,440900,1348,0,935,7,14,0,9,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,梅州,Meizhou,441400,1348,0,935,7,16,0,12,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,阳江,Yangjiang,441700,1348,0,935,7,14,0,10,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,汕头,Shantou,440500,1348,0,935,7,25,0,22,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,揭阳,Jieyang,445200,1348,0,935,7,8,0,5,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,韶关,Shaoguan,440200,1348,0,935,7,10,0,9,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,清远,Qingyuan,441800,1348,0,935,7,12,0,12,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,汕尾,Shanwei,441500,1348,0,935,7,5,0,5,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,潮州,Chaozhou,445100,1348,0,935,7,5,0,5,0,2020-02-28 17:47:50.764
广东省,Guangdong,440000,河源,Heyuan,441600,1348,0,935,7,4,0,4,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,济宁,Jining,370800,756,0,405,6,258,0,45,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,济南,Jinan,370100,756,0,405,6,47,0,25,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,德州,Dezhou,371400,756,0,405,6,37,0,17,2,2020-02-28 17:47:50.764
山东省,Shandong,370000,烟台,Yantai,370600,756,0,405,6,47,0,30,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,潍坊,Weifang,370700,756,0,405,6,44,0,27,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,青岛,Qingdao,370200,756,0,405,6,60,0,45,1,2020-02-28 17:47:50.764
山东省,Shandong,370000,威海,Weihai,371000,756,0,405,6,38,0,28,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,淄博,Zibo,370300,756,0,405,6,30,0,21,1,2020-02-28 17:47:50.764
山东省,Shandong,370000,泰安,Tai'an,370900,756,0,405,6,35,0,26,2,2020-02-28 17:47:50.764
山东省,Shandong,370000,聊城,Liaocheng,371500,756,0,405,6,38,0,33,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,临沂,Linyi,371300,756,0,405,6,49,0,45,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,日照,Rizhao,371100,756,0,405,6,16,0,12,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,滨州,Binzhou,371600,756,0,405,6,15,0,12,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,枣庄,Zaozhuang,370400,756,0,405,6,24,0,22,0,2020-02-28 17:47:50.764
山东省,Shandong,370000,菏泽,Heze,371700,756,0,405,6,18,0,17,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,温州,Wenzhou,330300,1205,0,975,1,504,0,405,1,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,台州,Taizhou,331000,1205,0,975,1,146,0,106,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,省十里丰监狱,,0,1205,0,975,1,36,0,5,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,宁波,Ningbo,330200,1205,0,975,1,157,0,138,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,杭州,Hangzhou,330100,1205,0,975,1,169,0,151,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,嘉兴,Jiaxing,330400,1205,0,975,1,45,0,34,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,绍兴,Shaoxing,330600,1205,0,975,1,42,0,36,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,金华,Jinhua,330700,1205,0,975,1,55,0,50,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,衢州,Quzhou,330800,1205,0,975,1,14,0,11,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,舟山,Zhoushan,330900,1205,0,975,1,10,0,7,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,湖州,Huzhou,330500,1205,0,975,1,10,0,9,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,丽水,Lishui,331100,1205,0,975,1,17,0,17,0,2020-02-28 17:47:50.764
浙江省,Zhejiang,330000,待明确地区,Area not defined,0,1205,0,975,1,0,0,6,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,成都,Chengdu,510100,538,0,338,3,143,0,85,3,2020-02-28 17:47:50.764
四川省,Sichuan,510000,甘孜州,Garzê Tibetan Autonomous Prefecture,513300,538,0,338,3,78,0,23,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,达州,Dazhou,511700,538,0,338,3,42,0,26,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,南充,Nanchong,511300,538,0,338,3,39,0,23,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,巴中,Bazhong,511900,538,0,338,3,24,0,11,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,德阳,Deyang,510600,538,0,338,3,18,0,10,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,广安,Guang'an,511600,538,0,338,3,30,0,23,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,绵阳,Mianyang,510700,538,0,338,3,22,0,15,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,泸州,Luzhou,510500,538,0,338,3,24,0,20,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,内江,Neijiang,511000,538,0,338,3,22,0,18,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,凉山州,Liangshan Yi Autonomous Prefecture,513400,538,0,338,3,13,0,10,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,遂宁,Suining,510900,538,0,338,3,17,0,15,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,宜宾,Yibin,511500,538,0,338,3,12,0,10,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,眉山,Meishan,511400,538,0,338,3,8,0,6,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,资阳,Ziyang,512000,538,0,338,3,4,0,2,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,雅安,Ya'an,511800,538,0,338,3,7,0,6,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,攀枝花,Panzhihua,510400,538,0,338,3,16,0,16,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,自贡,Zigong,510300,538,0,338,3,9,0,9,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,广元,Guangyuan,510800,538,0,338,3,6,0,6,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,乐山,Leshan,511100,538,0,338,3,3,0,3,0,2020-02-28 17:47:50.764
四川省,Sichuan,510000,阿坝州,Ngawa Tibetan and Qiang Autonomous Prefecture,513200,538,0,338,3,1,0,1,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,哈尔滨,Harbin,230100,480,0,283,13,198,0,85,4,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,双鸭山,Shuangyashan,230500,480,0,283,13,52,0,32,3,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,鸡西,Jixi,230300,480,0,283,13,46,0,29,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,齐齐哈尔,Qiqihar,230200,480,0,283,13,43,0,33,1,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,大庆,Daqing,230600,480,0,283,13,26,0,16,1,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,绥化,Suihua,231200,480,0,283,13,47,0,35,4,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,黑河,Heihe,231100,480,0,283,13,14,0,9,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,牡丹江,Mudanjiang,231000,480,0,283,13,14,0,9,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,七台河,Qitaihe,230900,480,0,283,13,17,0,13,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,鹤岗,Hegang,230400,480,0,283,13,5,0,4,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,佳木斯,Jiamusi,230800,480,0,283,13,15,0,15,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,大兴安岭,Daxinganling,232700,480,0,283,13,2,0,2,0,2020-02-28 17:47:50.764
黑龙江省,Heilongjiang,230000,伊春,Yichun,230700,480,0,283,13,1,0,1,0,2020-02-28 17:47:50.764
湖南省,Hunan,430000,长沙,Changsha,430100,1017,0,830,4,242,0,172,2,2020-02-28 17:47:50.764
湖南省,Hunan,430000,岳阳,Yueyang,430600,1017,0,830,4,156,0,113,1,2020-02-28 17:47:50.764
湖南省,Hunan,430000,株洲,Zhuzhou,430200,1017,0,830,4,80,0,62,0,2020-02-28 17:47:50.764
湖南省,Hunan,430000,娄底,Loudi,431300,1017,0,830,4,76,0,60,0,2020-02-28 17:47:50.764
湖南省,Hunan,430000,常德,Changde,430700,1017,0,830,4,82,0,72,0,2020-02-28 17:47:50.764
湖南省,Hunan,430000,衡阳,Hengyang,430400,1017,0,830,4,48,0,38,0,2020-02-28 17:47:50.764
湖南省,Hunan,430000,邵阳,Shaoyang,430500,1017,0,830,4,102,0,93,1,2020-02-28 17:47:50.764
